Comments,sentiment,expression
Só tem gringo lixo,0.0,Neutral
Remember 2010 its so old 😢,-0.5233,Negative
2025 anyone?😅,0.3612,Positive
Wow,0.5859,Positive
"Never gonna old <a href=""http://www.youtube.com/results?search_query=%23forever"">#forever</a> in our ❤ heart",0.8555,Positive
lets go Ney,0.0,Neutral
2099 hello💔,0.2732,Positive
2123 anyone 😂,0.4404,Positive
Stereotypical songs across the world brought me here (South Africa),0.0,Neutral
Ala,0.0,Neutral
2023 ❤,0.6369,Positive
my childhood favorite song,0.4588,Positive
Hshdg,0.0,Neutral
yty7,0.0,Neutral
😁😁😁😁😉😃😃😃,0.9552,Positive
Shakira,0.0,Neutral
⚽,0.0,Neutral
What is matchi😅😅😅😂😂,0.9062,Positive
Waka waka shakira❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😊😊🇧🇷🇮🇹🎉🎉🎉🎉,0.9971,Positive
2025 anyone❤,0.6369,Positive
2069 Anyone?,0.0,Neutral
2100 anyone?😅😅,0.6124,Positive
Today any one 😂❤,0.7964,Positive
2023?,0.0,Neutral
"Шаки , эта раскошная женщина и певица замечателное украшение для такого праздника",0.0,Neutral
So cool😊😊😊,0.9632,Positive
Ya Palestine Please save the Palestinians and stop the Genocide,0.5106,Positive
.,0.0,Neutral
India anyone??,0.0,Neutral
Арункренкокоуоуруоыоцлцюйжфдфоцлвоя🥰,0.8074,Positive
❤,0.6369,Positive
"Shakulya, don’t be stupid, even though you’re a beauty, no one needs you except me, let’s meet",-0.2023,Negative
❤❤❤❤❤❤❤😊😊😊😊🎉🎉,0.9957,Positive
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0.0,Neutral
I love you shakir songs❤,0.8555,Positive
Masterpiece all the time! 4 billion views coming yassss,0.6588,Positive
Fav 😌🖤,0.8689,Positive
Anyone from 2024😂❤,0.7964,Positive
2010 South Africa Fifa world cup official song,0.0,Neutral
This song is incredible<br>the best song,0.6369,Positive
2024 anyone?,0.0,Neutral
All Tlmb Good nlye Nlce all,0.4404,Positive
🫂✨️,0.0,Neutral
"Shakiras songs are my favourite ❤❤❤ waka waka eh,eh 😂😂",0.9607,Positive
2023 but this song is on another level🎉,0.5499,Positive
2024 ❤,0.6369,Positive
Even in 2060 its very popular with over 50 billion views,0.4754,Positive
Who Comming on 2023,0.0,Neutral
Openning fabio groso.,0.0,Neutral
❤ I listen to it every day. THIS IS AFRICA 😂😂😂,0.9169,Positive
Thirteen years later this song and video still gives you chills and tears. This is forever the best FIFA World cup song of our hearts!!!!!,0.8679,Positive
Anyone 2050??😂,0.504,Positive
Woww so cool musik😍😍,0.8341,Positive
2024 anyonee?,0.0,Neutral
I like the soccer ⚽ part it is the best and I love it,0.8979,Positive
🎉,0.4019,Positive
"Was that Messi on <a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m23s"">1:23</a>",0.0,Neutral
❤❤❤❤❤❤,0.9803,Positive
2025 any one 😢 ?,-0.4767,Negative
Moments on 13 year old,0.0,Neutral
I remember this song playing everywhere when i was 9. I watched this world cup edition video for the first time today. This song brings back a lot of good memmories. <br><br><br>I watched this one thinking it was the other  video i watched as a kid with the black and white intro. They both have the same thumbnails.,0.5719,Positive
ايواااا😂,0.4404,Positive
Yeeeeees,0.0,Neutral
Aptar 13years,0.0,Neutral
Waiting for the next,0.0,Neutral
messi ronaldo prime,0.0,Neutral
THIS IS MY FAVORITE SONG SOO YOU ARE ON FIRST PLACE ITS JUST I LIKE IT THE SONG!!!!!!!!!!!!!!!!!!!!!😅,0.8918,Positive
Tsamina Mina zanggalewa. This time for Indonesia.,0.0,Neutral
Bro were Stiller in 2023,0.0,Neutral
Best.❤❤❤❤❤❤❤,0.9887,Positive
2030?,0.0,Neutral
2024 anyone,0.0,Neutral
❤.    2024,0.6369,Positive
Please 🎤 sing this for 2024 World Cup,0.3182,Positive
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤💝💗,0.9998,Positive
"Another one for Africa. Congratulations Springboks for another world cup <a href=""http://success.you/"">success.you</a> made the whole Africa proud",0.7906,Positive
❤❤❤❤❤❤❤❤❤❤❤❤❤OMG!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.9952,Positive
nostalgia ❤❤❤,0.9274,Positive
2060 anyone???,0.0,Neutral
c&#39;est la chanson de Beyoncé  je sais rien 😁😄,0.8176,Positive
somebody 2023,0.0,Neutral
The shira<br>❤❤❤❤❤❤❤,0.9854,Positive
Waka waka😊😊😊😊❤❤❤❤❤,0.9928,Positive
Сколько? (За всю ночь),0.0,Neutral
Tozzzz,0.0,Neutral
💗💓💞💕❣️💗💓💞💕❣️💗💓💞💕❣️,0.9976,Positive
"<a href=""https://youtu.be/0EP36VwStzo?si=DAN-TdZZx8oxKRGY"">https://youtu.be/0EP36VwStzo?si=DAN-TdZZx8oxKRGY</a>",0.0,Neutral
2010,0.0,Neutral
world Cup 2013😢,-0.4767,Negative
2025 people?😅,0.3612,Positive
Ik I&#39;ll still listen to this masterpiece in Future and get those happy n excited vibes fr🤌🏻,0.8995,Positive
Hi ❤,0.6369,Positive
2035 anyone????,0.0,Neutral
I still love it and have been listening to it for 13 years ❤️⚽️,0.6369,Positive
Realy you are able to love!!!!,0.7482,Positive
"she didnt make this, she just replaced a few words with “its time for africa”",0.0,Neutral
Who watch wake Waka in Pakistani version 😂😂😂😂,0.891,Positive
Petro🎉,0.4019,Positive
Aww when Shakira wasn&#39;t a attention desperate wh*re,-0.3182,Negative
Foi a ultima copa do mundo que prestou,0.0,Neutral
bjb,0.0,Neutral
تجنن الاغنيهه😭😭😭,-0.8519,Negative
"I had to stop the video after I saw a young Lionel Messi and literally just dropped tears out of absolutely nowhere. I&#39;m not this emotional when it comes to football, or even songs. I&#39;ve never cried over any good or bad results, and I&#39;ve seen this video so many times before, but now it&#39;s like something finally hit me when I saw a young Messi and I don&#39;t know what. I don&#39;t know how to put it in words, but I&#39;m really feeling things.",0.5274,Positive
Best luck for Cricket World Cup 2023 🏆,0.802,Positive
2010 anyone 😂,0.4404,Positive
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷😂😢,-0.0516,Negative
Sempre será a música oficial de todas as Copas que estão por vir,0.0,Neutral
Nov 2023 anyone?❤,0.6369,Positive
This song is a brand for international sports💞🏏⚽,0.6486,Positive
2050 anyone?😂😂,0.7003,Positive
This was used in my school&#39;s annual concert. Cant belive old songs are getting passed to newer generations.,0.0,Neutral
❤❤Lœvë ït❤❤,0.9274,Positive
2024 enyone 😊❤,0.8807,Positive
I love this song,0.6369,Positive
3November 2023❤,0.6369,Positive
2024 your like,0.3612,Positive
Yet&#39;s go to 2024🎉🎉🎉,0.7964,Positive
Cool,0.3182,Positive
Who listens in 2023?,0.0,Neutral
❤❤❤❤ very nice song 🎉🎉❤❤❤🎉🎉❤❤❤❤❤,0.9967,Positive
May jane,0.0,Neutral
😮2024😊,0.7184,Positive
3/11/23,0.0,Neutral
13年前という驚き,0.0,Neutral
Hmm NOVEMBER 2023 for me and still and progress.,0.4215,Positive
I love 💕 it,0.8591,Positive
çakma hadise,0.0,Neutral
2024 is soon✨🙂,0.6133,Positive
Evergreen Song ❤️❤️✨,0.3182,Positive
Cup word 2026 who taked ?,0.0,Neutral
Good,0.4404,Positive
❤️❤️😘wowwhhh,0.0,Neutral
anyone here this time?😂😂,0.7003,Positive
❤❤❤❤Adorrrrrr!🎉😊,0.9705,Positive
2023 cricket world this time for India ❤❤❤,0.9274,Positive
"The best world cup song ever, it really captures the vibe of excitement for the world cup plus the cultural relevance of the country that hosted 2010 WC (Africa)",0.8126,Positive
This my fuv  song ❤,0.6369,Positive
nagyon jó,0.0,Neutral
From 2023 December anyone,0.0,Neutral
Me,0.0,Neutral
2030 anyone?,0.0,Neutral
South Africa should bid to host another world cup,0.0,Neutral
This time for India (Cricket World Cup 2013),0.0,Neutral
Ma&#39;am nasapao hgakaoy,0.0,Neutral
This is the first time I see a song with 23 million likes and 3one billion,0.4215,Positive
My favorite world cup song ❤,0.802,Positive
2023 ❤,0.6369,Positive
Childhood memories ❤️,0.0,Neutral
This shows parts of football players wining wich would be a cool theme but the danceing is good for the theme as well  but they<br>Sing about africa😊,0.9446,Positive
🇧🇩❤️❤️,0.0,Neutral
A leg-legjobb adó csak Önöket hallgatom főleg éjszaka. Gratulálok!,0.0,Neutral
В 2024 всё ещё популярно😂,0.4404,Positive
Какой же офигенный трек! Эхх сколько воспоминаний… Вернуть бы время назад в 2010. Жалко что так быстро летит время…,0.0,Neutral
2024 Coming Soon Byt This Song Aha😅,0.3612,Positive
This song is 5 days older then me,0.0,Neutral
Sdds copa 2010,0.0,Neutral
November 2n anyone,0.0,Neutral
3 November Anyone 😍,0.4588,Positive
", <br>🎉❤g",0.4019,Positive
A mi me gusta mucho el PHONK pero no puedo negar q las canciones de shakira son buenardas ❤❤🎉,0.872,Positive
This song will never age,0.0,Neutral
2024 anyone?❤,0.6369,Positive
Yayyyy🎉🎉🎉🎉❤❤❤,0.9732,Positive
"Este mundial y esta canción, evento canónico de nuestras infancias",0.0,Neutral
3 BILLION???? LIKE PASSING &#39;&#39;Never Gonna Give You Up&#39;&#39; And &#39;&#39;Take On Me&#39;&#39; Oh my god,0.7425,Positive
Is this song stuck in anyone else&#39;s head or just mine😂,0.2263,Positive
Waka,0.0,Neutral
2023 anyone?😆,0.3612,Positive
Alguem em 2023 escutando essa pedrada com sdd da copa,0.0,Neutral
como te extraño año 2010,0.0,Neutral
é  muito lindo ❤,0.6369,Positive
época que o futebol era futebol sdds,0.0,Neutral
mee,0.0,Neutral
"Shakira - Waka Waka (This Time for Africa)&quot; was undoubtedly a global sensation and took the world by storm. It&#39;s incredible how certain songs can have such a widespread impact and become anthems that unite people across the globe. The power of music to bring us together is truly remarkable! 🌍🎶💃 <a href=""http://www.youtube.com/results?search_query=%23wakawaka"">#WakaWaka</a> <a href=""http://www.youtube.com/results?search_query=%23shakira"">#Shakira</a> <a href=""http://www.youtube.com/results?search_query=%23globalanthem"">#GlobalAnthem</a>",0.8661,Positive
Shakira is number one❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9968,Positive
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9983,Positive
People noticed the man getting the ball from messi👇,0.0,Neutral
She may have stole this but shii delivered,0.0,Neutral
Bro this song is FIRE 🔥,-0.6739,Negative
Jam 🔥🚀🚀,-0.34,Negative
2024,0.0,Neutral
Taylor❤got Eunuchs in her life... Shakira got an priZed pig father of Her children in hers❤️‍🩹,0.5267,Positive
Yes,0.4019,Positive
❤,0.6369,Positive
2023 anyone?? Yes or no ❤😅,-0.1847,Negative
I love this song ❤❤❤❤❤❤,0.9854,Positive
😊Who watching this 2023,0.7184,Positive
I like your song my name is Amanda Godson,0.3612,Positive
Genesis⚽️⚽️🎖🎖🎖🏆🏆🏆🏅🏅🏅🥇🥇❤❤,0.9864,Positive
Genesis🤗🤗,0.6808,Positive
Gotta be the best World Cup song,0.6369,Positive
She knows what a soul tie is...SANTARIA..BLACK MAGIC 🖤,0.6369,Positive
Old is gold ❤,0.6369,Positive
2024 anyone?,0.0,Neutral
"TRTRTR 🥰: super song !! Even though it was 13 years ago, it still has a record number of streams❤",0.9537,Positive
❤❤❤,0.9274,Positive
I love this song 🥺☁️🤍,0.6369,Positive
❤❤❤Kazakhstan 🇰🇿🇰🇿🇰🇿 🕌🕌🕌🤲🤲🧕🧕👨‍🚀👨‍🚀🏇🏇,0.8555,Positive
2024 november 2,0.0,Neutral
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.999,Positive
this time for afirca 🇿🇦 (icc wc),0.0,Neutral
Waka Waka ey ey,0.0,Neutral
2025 anyone 😂😅,0.6597,Positive
CR7 🐐,0.0,Neutral
The Bottom up approach is the economic model of Development is to make Kenya Greater,0.3612,Positive
Greatest hits during the world Cup in South Africa ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ it&#39;s time for Africa towards economic development and Growth to Make Africa Great,0.9991,Positive
November 2023,0.0,Neutral
Quien me quiere lo perdono voy amaldigar francia ahora en vivo,0.0,Neutral
I remembered my childhood😢,-0.4767,Negative
😊❤🎉,0.9169,Positive
The best WC song,0.6369,Positive
2023 i love the video,0.6369,Positive
lol,0.4215,Positive
Uzbeklar,0.0,Neutral
Hexa 2026,0.0,Neutral
Ich bin eigegenlich ein mädel aber ich spiele fussball und habe auch imer angst ge habt weil ich es nicht schaffe aber dann habe ich disses lied gehort und ich habe keine angst und jungs mädels könne auch fussball spielen,-0.3818,Negative
Alguém em 2025?,0.0,Neutral
Alguien de 2023 ya casi 2024?😹,0.4404,Positive
I wish I was here for 2010 World Cup 😢,-0.1027,Negative
I think is a good music in word cup 2026,0.4404,Positive
😂❤❤❤,0.9477,Positive
Li,0.0,Neutral
Dis❤❤❤,0.9274,Positive
Shag,0.0,Neutral
Forboy,0.0,Neutral
2023 Anyone ❤,0.6369,Positive
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9986,Positive
Лучшая ❤❤😅,0.8979,Positive
one of my favourite song😍😍,0.7184,Positive
يلي جاي 2024 😂,0.4404,Positive
❤❤❤❤,0.9571,Positive
Yessss,0.0,Neutral
This is old but gold ❤❤❤ (who stil listen in in 2023 ? MEEEEE😂),0.9757,Positive
I am,0.0,Neutral
love  it  too❤❤❤❤,0.9719,Positive
In 2023 anyone ?,0.0,Neutral
"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>this song bro it the goat",0.0,Neutral
Esta es la cancion del fut bol,0.0,Neutral
今見てる人はいますか？,0.0,Neutral
Who is from 2026?,0.0,Neutral
"Uncle parliament me budjet <br>Budjet achha hai aur khushi bhi achhi hai aur us se kai guna khushi ki baat ye hai ki  Bihar me kaphi shanti hai aur progress kar raha hai Mission 50 academy, Drishti IAS academy BJP vadi aaj tak hai but tarakki kar rhe hai students ias, IPS, district project officer nikal rahe hai harek year 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤",0.9988,Positive
I love this song<br>احب الاغنيه,0.6369,Positive
"There are few great World Cup songs , but this is the best 🏆",0.8537,Positive
2025 anyone listening,0.0,Neutral
Cristiano este cel mai ❤❤❤❤❤❤❤❤❤❤❤,0.994,Positive
Waka wakaaaaaaaa<br>Summer<br>Football<br>Perfect<br>2023  are you here?,0.0,Neutral
Coming here to bless my ear after listening to tuku tata something 😢,-0.0772,Negative
This song is just incredible ! Love it ! ❤❤❤❤,0.9746,Positive
The best of FIFA songs ❤️‍🔥🔛🔝,0.6833,Positive
2023-2024 anybody?,0.0,Neutral
"Africa, Africa Africa, Africa,Africa Africa, thank you Shakira",0.3612,Positive
Gut,0.0,Neutral
❤❤❤❤,0.9571,Positive
"Shakulya, don’t be stupid, no one is interested in you except me, you’ll be a lonely beauty all your life, let’s meet, I’ll give you a massage both in front and behind your back.,,,,,,,,,,,,,,,,,,",-0.1531,Negative
2023 anyone???,0.0,Neutral
It&#39;s 2023,0.0,Neutral
"This time for Africa <a href=""http://www.youtube.com/results?search_query=%23cwc23"">#CWC23</a>",0.0,Neutral
2023 ⓗⓗⓗ 😂😎,0.7096,Positive
Not samina it Tsamina 😂,0.4404,Positive
❣❣,0.8555,Positive
"Even in future, no World Cup songs will be as &quot;waka&quot; waka and &quot;waving flag&quot;.This songs is an anthem for football <a href=""http://fans.now/"">fans.Now</a>,i don&#39;t see any songs that make me feel world cup songs as this songs do.",-0.296,Negative
😉😉saya suka pildun yg 2010 ini,0.0,Neutral
2023?,0.0,Neutral
Why you make your children feel you while you make the world feel sexy about themselves,0.5267,Positive
It’s insane that almost half of the whole worlds population has watched this video,-0.4019,Negative
😢nnn🎉❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊,0.9988,Positive
thankeu shakira brazilllllllllll,0.0,Neutral
Sadly i hate football so noooooo... 😮‍💨,-0.7579,Negative
"Shakira.. you&#39;re wonderful woman <a href=""http://www.youtube.com/results?search_query=%23womensupportwomen"">#womensupportwomen</a>",0.5719,Positive
طوفان الاقصى <br><br>2023,0.0,Neutral
2025??,0.0,Neutral
به به,0.0,Neutral
"😁👍 the strong always wins, knowledge, experience and of course intelligence😁 intelligence always wins",0.9716,Positive
Not a single song will ever have the impact that this song has,0.0,Neutral
this song is mwa,0.0,Neutral
"Shakulya, let&#39;s meet and I&#39;ll give you a massage from front and back,,,,,,,,,,,,,,,,,,,,,,,,",0.0,Neutral
2023🎉,0.4019,Positive
2023/11/1😂😂,0.7003,Positive
2023 anyone?😅,0.3612,Positive
Shakira,0.0,Neutral
2094🎉,0.4019,Positive
Love Waka Waka,0.6369,Positive
It’s funny how that I am a big fan of her but I only know tow song s😂❤,0.9224,Positive
Snake ho ana e dhsdh😅❤❤❤😂😂😂,0.9744,Positive
Still unbeatable❤,0.6369,Positive
2023😂😂😂,0.8271,Positive
2023 anyone? Love this song ❤,0.8555,Positive
2023,0.0,Neutral
Alguem 2024?,0.0,Neutral
الاغنيه عشقيي 😭✨💋..,0.25,Positive
Epico,0.0,Neutral
Imortal,0.0,Neutral
2024 anyone??😂,0.504,Positive
❤❤❤,0.9274,Positive
"I remember how popular this was when I was 10 back in 2010, this takes me back. Time flies.",0.4215,Positive
Anyone 2024 ?,0.0,Neutral
Banana ☺,0.4588,Positive
Good Old Music Nostalgia😢😢,-0.5106,Negative
😂Anyone 2024,-0.2263,Negative
Who loves Shakira like 🎉,0.836,Positive
This time for india in world Cup icc,0.0,Neutral
Who agrees with me I like this video,0.5106,Positive
Bravo ❤❤❤❤❤❤❤🎉🎉🎉,0.9902,Positive
This song play in 19Nov in Ahmedabad for CWC champions South Africa ❤,0.875,Positive
Esahl.   100.  😊❤🎉,0.9169,Positive
I hope good days come back for the world. Greetings to good people,0.8885,Positive
eey eey,0.0,Neutral
November 2023..I&#39;m listening ❤,0.6369,Positive
i have 0 subcriber,0.0,Neutral
So cool ich es mir vorstellen kann und freddy farbear,0.3804,Positive
I love you shakira❤❤❤❤,0.9719,Positive
2024 anyone?,0.0,Neutral
2023😊😊😊🎉🎉❤❤❤,0.9882,Positive
Very beautiful and sweet ❤❤❤🎉🎉🎉,0.982,Positive
2024🎉🎉🎉🎉,0.8689,Positive
"I&#39;ve heard this song since I was in elementary school and now I&#39;m almost 30 years old, and I finally understand, this is THE BEST SONG IN WORLD CUP HISTORY. ❤",0.8788,Positive
Aj koi pakistani aya hai 😂😂 africa jeet jai aj nz vs africa 😂,0.8271,Positive
انا من عام 2023 شهر 11😄😄,0.875,Positive
Siama❤,0.6369,Positive
ださいわー,0.0,Neutral
へた,0.0,Neutral
Best song  for football 😢😢😢,-0.6249,Negative
Anybody in 2023?🎉,0.4019,Positive
2023 here_?,0.0,Neutral
Love from India🇮🇳,0.6369,Positive
Hebat mamanya 3.7 Billion viewers,0.0,Neutral
Varey  nice,0.4215,Positive
❤❤❤,0.9274,Positive
2023 anyone 👑,0.0,Neutral
This song has different vibe and has different fan following...❤❤,0.8934,Positive
Bhenchoduga sabki.,0.0,Neutral
Ma ki chut is gane ki,0.0,Neutral
2034 anyone?🙂,0.4033,Positive
Nice song,0.4215,Positive
I love this song❤❤,0.9274,Positive
Aamiin ya Allah rabbal Allah SWT,0.0,Neutral
Aamiin ya Allah,0.0,Neutral
Tuhan ku Allah SWT aamiin ya Allah rabbal Baraya Allah SWT,0.0,Neutral
An African singer would have been better for this song not Shakira!,0.4926,Positive
Sheeeeeeeeedh,0.0,Neutral
❤❤❤❤,0.9571,Positive
"Listening since ,,,,, and I will listen till death .",-0.5994,Negative
COOP,0.0,Neutral
Hello 😢,-0.4767,Negative
Masterpiece ❤️,0.6249,Positive
Suiiiiiiìiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0.0,Neutral
2023🎉🎉,0.6597,Positive
yes,0.4019,Positive
Melhor copa des todas com as gerações novas e com as antigas da aquela época,0.0,Neutral
2023 anyone ❤,0.6369,Positive
Today Africa🤣,0.4939,Positive
India like button ✅,0.3612,Positive
Cute ❤❤😊😊,0.9732,Positive
messi @ahhh,0.0,Neutral
Fifa hasn&#39;t yet made a banger that is better than this one,0.4404,Positive
2023 still can&#39;t overcome from these masterpiece,0.6249,Positive
Any one 2025 here,0.0,Neutral
Anyone from 2025 👽,0.0,Neutral
Listening to this masterpiece while hoping for South Africa to win against New Zealand today. 🤩,0.9095,Positive
20230アンヨネ　someone?,0.0,Neutral
hey iam listen it from Bangladesh 01.10.2023,0.0,Neutral
❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9963,Positive
2025😂😂🎉,0.8176,Positive
WAKA WAKA  is they BEST  SONG,0.7125,Positive
Is 13 years ago❤,0.6369,Positive
2023 anyone?😂,0.4404,Positive
Still 2024❤😂,0.7964,Positive
My dads favourite song and mine too❤❤🥺bt he is no more,0.802,Positive
kiss meeeeeeee,0.4215,Positive
FREE PALESTINE 🇵🇸,0.6166,Positive
Any malayalis here??? ❤️,0.0,Neutral
На любом языке. АФРИКА))),0.0,Neutral
Still popular song for<br>2024 people <br>👇,0.4215,Positive
Nunka pasará de moda,0.0,Neutral
Warga +62 2023 hadir 🎉❤,0.7845,Positive
the song feels more in spanish,0.0,Neutral
quem ta vendo em 2023?,0.0,Neutral
", tipe, zangalewa (World Cup! World Cup!)<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br><br>You&#39;re a good soldier, choosing your battles<br>Pick yourself up and dust yourself off, get back in the saddle<br>You&#39;re on the frontline, everyone&#39;s watching<br>You know it&#39;s serious, we&#39;re getting closer, this isn&#39;t over<br><br>The pressure&#39;s on, you feel it<br>But you got it all, believe it<br>When you fall get up, oh, oh<br>And if you fall get up, eh, eh<br>Tsamina mina zangalewa &#39;cause this is Africa<br><br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br><br>Listen to your God, this is our motto<br>Your time to shine, don&#39;t wait in line, y vamos por todo<br>People are raising their expectations<br>Go on and feed them, this is your moment, no hesitation<br><br>Today&#39;s your day, I feel it<br>You paved the way, believe it<br>If you get down get up, oh, oh<br>When you get down get up, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br><br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa, anawa-a-a<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br><br>Abuyile amajoni pikipiki mama, one A up to Z<br>Bathi susa lamajoni pikipiki mama from East to West<br>Bathi waka waka mah eh, eh<br>Waka waka mah eh, eh<br>Zonk&#39; iZizwe masibuye &#39;cause this is Africa (Africa, Africa...)<br><br>Tsamina mina, anawa-a-a<br>Tsamina mina<br>Tsamina mina, anawa-a-a<br><br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa anawa-a-a<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br><br>Tango, eh, eh<br>Tango, eh, eh<br>Tsamina mina zangalewa anawa-a-a<br>Tango, eh, eh<br>Tango, eh, eh<br>Tsamina mina zangalewa, anawa-a-a<br><br>This time for Africa<br>This time for Africa<br>We all Africa (zama qhela)<br>We all Africa (kwela kwela)<br>Zama qhela",0.5673,Positive
Лол кек чебурек,0.0,Neutral
👏🏿👏🏿👏🏿👏🏿👏🏿,0.0,Neutral
Klo bs d download i want😊,0.743,Positive
2023 den selam,0.0,Neutral
2023 on et la,0.0,Neutral
2025 anyone?,0.0,Neutral
2024 anyone 😂,0.4404,Positive
"Шакуля давай встретимся и  отдохнём вместе, сделаю тебе массаж,,,,,,,,,,,,,,,",0.0,Neutral
🎉🎉🎉🎉🎉🎉🎉🎉😂❤❤❤❤❤❤❤❤❤❤❤❤YAY.     AMAZING!!!!!😻 We Love ❤️ your songs!!😊😊😊😊😂😂🎉😮😮,0.9989,Positive
3.7b before 2024?THATS CRAZY,-0.4824,Negative
2023 November 💔😏anyone??,0.3527,Positive
2025 anyone 😂,0.4404,Positive
Who is still here so that we move to 2024😂😂,0.7003,Positive
😅,0.3612,Positive
Every time goosebumps ⚽️❤️‍🩹🔥,-0.34,Negative
2024 alguien 😂,0.4404,Positive
❤,0.6369,Positive
wkA wkA in2023😅😅,0.6124,Positive
If this comment gets likes it means people still listen to this wonderful song 👍🏾,0.8006,Positive
All time favourite WC song ❤<br>I am from INDIA but love this masterpiece ❤❤❤,0.9882,Positive
❤❤❤,0.9274,Positive
2024,0.0,Neutral
Ahoj Hanczak 🎃🎃🎃🎃,0.0,Neutral
"Rear vib,  rear impression",0.2263,Positive
13 years ago ....,0.0,Neutral
2100 anyone? 😅,0.3612,Positive
2024 anyone ❤?,0.6369,Positive
❤❤❤❤❤❤❤❤❤❤❤❤,0.995,Positive
Anyone from 2027 ?<br>Yesterday&#39;s wc winners were brazil right?,0.5362,Positive
Пишите на русском языке,0.0,Neutral
👍👍👍👍👍👍👏👏👏👏👏👏👏👏,0.0,Neutral
I love shakira. Hate lizzo.,0.128,Positive
ANSTA 😢 2llh.o,-0.4767,Negative
😅 Б,0.3612,Positive
2024❤,0.6369,Positive
Melhor música de todas as copas!,0.0,Neutral
Anyone here on october 2024 this song famous  in our school my elementary days i am the leader 😂😂😂 i am 90s,0.8271,Positive
2026🤗🤗🤗,0.8126,Positive
2024??anyoune😂😂😂❤😍,0.9456,Positive
Me,0.0,Neutral
🎉2010❤,0.7845,Positive
1999 Anyone.😂😂😂,0.8271,Positive
❤❤,0.8555,Positive
ههههه,0.0,Neutral
💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖,0.9994,Positive
My favorite song 2023🎉❤,0.872,Positive
I&#39;m watching 2023🤤💗,0.7096,Positive
Meesi ❤❤,0.8555,Positive
Reply if you like this song,0.3612,Positive
Олщв😅😂Одна 🎉и мдсщ5щ😂ш84😊,0.8126,Positive
tempo que não volta mais  😔😔😣,0.1531,Positive
Football ye,0.0,Neutral
السلام عليكم شكيرا كنت اسمع هالاغنيه وانا بعمر 9 سنوات والان عمري اصبح 22سنه🥹❤️احلى اغنيه سمعتهافي حياتي وتعبتر اغنيتي الطفوله🫶🏽,0.0,Neutral
खेल बहुत कुछ है,0.0,Neutral
Круто ❤🎉,0.7845,Positive
is so cooool wow i love it❤🎉😊,0.969,Positive
2025 any one?,0.0,Neutral
Hi waka,0.0,Neutral
13 years ago,0.0,Neutral
Zjjsjah❤😮😮😂😂😅❤😊,0.9709,Positive
2023 and 2024<br>👇,0.0,Neutral
Love from India❤2023,0.6369,Positive
Yo soy de ahi y soy tu fans tus niños crecen y si te sentis viejita y sola acordate de este viejito que siempre te adoró desde niña y te escucha con amor sin ver tu inteligencla  ni tu  dinero sino tu corazón humano.,0.1027,Positive
"Every time I see this, it makes me feel how much I&#39;ve fucking afed",0.0,Neutral
Je  t &#39;aime Shakira.,0.0,Neutral
Shakiraa❤,0.6369,Positive
2024 anyone 😅😂?,0.6597,Positive
And ever😢ything to ME TAYLOR SWIFT AJAK LAH LAPET😅,0.2342,Positive
There&#39;s Pachelbel&#39;s canon in D again.,0.0,Neutral
